title,month,date,year
A Walk in the Woods,1,11,1983
Mount McKinley,1,11,1983
Ebony Sunset,1,18,1983
Winter Mist,1,25,1983
Quiet Stream,2,1,1983
Winter Moon,2,8,1983
Autumn Mountains,2,15,1983
Peaceful Valley,2,22,1983
Seascape,3,1,1983
Mountain Lake,3,8,1983
Winter Glow,3,15,1983
Snowfall,3,22,1983
Final Reflections,3,29,1983
Meadow Lake,8,31,1983
Winter Sun,9,7,1983
Ebony Sea,9,14,1983
Shades of Gray,9,21,1983
Autumn Splendor,9,28,1983
Black River,10,5,1983
Brown Mountain,10,12,1983
Reflections,10,19,1983
Black & White Seascape,10,26,1983
Lazy River,11,2,1983
Black Waterfall,11,9,1983
Mountain Waterfall,11,16,1983
Final Grace,11,23,1983
Mountain Retreat,1,4,1984
Blue Moon,1,11,1984
Bubbling Stream,1,18,1984
Winter Night,1,25,1984
Distant Hills,2,1,1984
Covered Bridge,2,8,1984
Quiet Inlet,2,15,1984
Night Light,2,22,1984
The Old Mill,3,1,1984
Campfire,3,8,1984
Rustic Barn,3,15,1984
Hidden Lake,3,22,1984
Peaceful Waters,3,29,1984
Purple Splendor,9,5,1984
Tranquil Valley,9,12,1984
Majestic Mountains,9,19,1984
Winter Sawscape,9,26,1984
Evening Seascape,10,3,1984
Warm Summer Day,10,10,1984
Cabin in the Woods,10,17,1984
Wetlands,10,24,1984
Cool Waters,10,31,1984
Quiet Woods,11,7,1984
Northwest Majesty,11,14,1984
Autumn Days,11,21,1984
Mountain Challenge,11,28,1984
Mountain Waterfall,1,2,1985
Twilight Meadow,1,9,1985
Mountain Blossoms,1,16,1985
Winter Stillness,1,23,1985
Quiet Pond,1,30,1985
Ocean Sunrise,2,6,1985
Bubbling Brook,2,13,1985
Arizona Splendor,2,20,1985
Anatomy of a Wave,2,27,1985
The Windmill,3,6,1985
Autumn Glory,3,13,1985
Indian Girl,3,20,1985
Meadow Stream,3,27,1985
Blue River,5,1,1985
Nature's Edge,5,8,1985
Morning Mist,5,15,1985
Whispering Stream,5,22,1985
Secluded Forest,5,29,1985
Snow Trail,6,5,1985
Arctic Beauty,6,12,1985
Horizons West,6,19,1985
High Chateau,6,26,1985
Country Life,7,2,1985
Western Expanse,7,9,1985
Marshlands,7,16,1985
Blaze of Color,7,23,1985
Winter Cabin,10,2,1985
Secluded Lake,10,9,1985
Evergreen at Sunset,10,16,1985
Mountain Cabin,10,23,1985
Portrait of Sally,10,30,1985
Misty Waterfall,11,6,1985
Barn at Sunset,11,13,1985
Mountain Splendor,11,20,1985
Lake by Mountain,11,27,1985
Mountain Glory,12,6,1985
Grey Winter,12,13,1985
Dock Scene,12,20,1985
Dark Waterfall,12,27,1985
Misty Rolling Hills,1,2,1986
Lakeside Cabin,1,9,1986
Warm Winter Day,1,16,1986
Waterside Way,1,23,1986
Hunter's Haven,1,30,1986
Bubbling Mountain Brook,2,6,1986
Winter Hideaway,2,13,1986
Foot of the Mountain,2,20,1986
Majestic Pine,2,27,1986
Cactus at Sunset,3,6,1986
Mountain Range,3,13,1986
Lonely Retreat,3,20,1986
Northern Lights,3,27,1986
Winter Evergreens,4,30,1986
Surf's Up,5,7,1986
Red Sunset,5,14,1986
Meadow Road,5,21,1986
Winter Oval,5,28,1986
Secluded Beach,6,4,1986
Forest Hills,6,11,1986
Little House by the Road,6,18,1986
Mountain Pass,6,25,1986
Country Charm,7,2,1986
Nature's Paradise,7,9,1986
Mountain by the Sea,7,16,1986
Mountain Hideaway,7,23,1986
Towering Peaks,9,3,1986
Cabin at Sunset,9,10,1986
Twin Falls,9,17,1986
Secluded Bridge,9,24,1986
Ocean Breeze,10,1,1986
Autumn Woods,10,8,1986
Winter Solitude,10,15,1986
Golden Sunset,10,22,1986
Mountain Oval,10,29,1986
Ocean Sunset,11,5,1986
Triple View,11,12,1986
Winter Frost,11,19,1986
Lakeside Cabin,11,26,1986
Mountain Stream,12,31,1986
Country Cabin,1,7,1987
Daisy Delight,1,14,1987
Hidden Stream,1,21,1987
Towering Glacier,1,28,1987
Oval Barn,2,4,1987
Lakeside Path,2,11,1987
Sunset Oval,2,18,1987
Winter Barn,2,25,1987
Sunset Over the Waves,3,4,1987
Golden Glow,3,11,1987
Roadside Barn,3,18,1987
Happy Accident,3,25,1987
Golden Knoll,4,29,1987
Mountain Reflections,5,6,1987
Secluded Mountain,5,13,1987
Bright Autumn Trees,5,20,1987
Black Seascape,5,27,1987
Steep Mountains,6,3,1987
Quiet Mountain River,6,10,1987
Evening Waterfall,6,17,1987
Tropical Seascape,6,24,1987
Mountain at Sunset,7,1,1987
Soft Mountain Glow,7,8,1987
Mountain in an Oval,7,15,1987
Winter Mountain,7,22,1987
Rolling Hills,9,2,1987
Frozen Solitude,9,9,1987
Meadow Brook,9,16,1987
Evening Sunset,9,23,1987
Mountain View,9,30,1987
Hidden Creek,10,7,1987
Peaceful Haven,10,14,1987
Mountain Exhibition,10,21,1987
Emerald Waters,10,28,1987
Mountain Summit,11,4,1987
Cabin Hideaway,11,11,1987
Oval Essence,11,18,1987
Lost Lake,11,25,1987
Distant Mountains,12,30,1987
Meadow Brook Surprise,1,6,1988
Mountain Moonlight Oval,1,13,1988
Snowy Solitude,1,20,1988
Mountain River,1,27,1988
Graceful Mountains,2,3,1988
Windy Waves,2,10,1988
On a Clear Day,2,17,1988
Riverside Escape Oval,2,24,1988
Surprising Falls,3,2,1988
Shadow Pond,3,9,1988
Misty Forest,3,16,1988
Natural Wonder,3,23,1988
Splendor of Winter,4,27,1988
Colors of Nature,5,4,1988
Grandpa's Barn,5,11,1988
Peaceful Reflections,5,18,1988
Hidden Winter Moon Oval,5,25,1988
Waves of Wonder,6,1,1988
Cabin by the Pond,6,8,1988
Fall Stream,6,15,1988
Christmas Eve Snow,6,22,1988
Forest Dawn Oval,6,29,1988
Pathway to Autumn,7,6,1988
Deep Forest Lake,7,13,1988
Peaks of Majesty,7,20,1988
Two Seasons,8,17,1988
Nestled Cabin,8,24,1988
Wintertime Discovery,8,31,1988
Mountain Mirage,9,7,1988
Double Oval Fantasy,9,14,1988
Contemplative Lady,9,21,1988
Deep Woods,9,28,1988
High Tide,10,5,1988
Barn in Snow Oval,10,12,1988
That Time of Year,10,19,1988
Waterfall Wonder,10,26,1988
Mighty Mountain Lake,11,2,1988
Wooded Stream Oval,11,9,1988
Golden Mist Oval,1,4,1989
Old Place Home,1,11,1989
Soothing Vista,1,18,1989
Stormy Seas,1,25,1989
Country Time,2,1,1989
A Mild Winter's Day,2,8,1989
Spectacular Waterfall,2,15,1989
View From the Park,2,22,1989
Lake View,3,1,1989
Old Country Mill,3,8,1989
Morning Walk,3,15,1989
Nature's Splendor,3,22,1989
Mountain Beauty,3,29,1989
Half Oval Vignette,7,5,1989
Absolutely Autumn,7,12,1989
Mountain Seclusion,7,19,1989
Crimson Oval,7,26,1989
Autumn Exhibition,8,2,1989
Majestic Peaks,8,9,1989
Golden Morning Mist,8,16,1989
Winter Lace,8,23,1989
Seascape Fantasy,8,30,1989
Double Oval Stream,9,6,1989
Enchanted Forest,9,13,1989
Southwest Serenity,9,20,1989
Rippling Waters,9,27,1989
Snowfall Magic,1,3,1990
Quiet Mountain Lake,1,10,1990
Final Embers of Sunlight,1,17,1990
Snowy Morn,1,24,1990
Camper's Haven,1,31,1990
Waterfall in the Woods,2,7,1990
Covered Bridge Oval,2,14,1990
Scenic Seclusion,2,21,1990
Ebb Tide,2,28,1990
After the Rain,3,7,1990
Winter Elegance,3,14,1990
Evening's Peace,3,21,1990
Valley of Tranquility,3,28,1990
